name,role,status,website,image,research_interest
Paul Hayne,Principal Investigator,Current,https://experts.colorado.edu/display/fisid_163352,Planetary science and remote sensing
Noora Alsaeed,PhD Student,Alumni - Now at UAE Space Agency,https://space.gov.ae/en,noora.jpg,Mars climate and remote sensing
Andrew Wilcoski,PhD Student,Alumni - Now at NASA/Jet Propulsion Laboratory,https://science.jpl.nasa.gov/people/andrew-wilcoski/,andrew.jpg,Climate modeling and volatile transport
Patrick O'Brien,Postdoc,Current,https://lasp.colorado.edu/people/patrick-obrien/,patrick.jpg,Thermal modeling of planetary surfaces and landscape evolution
Robert Stevens,PhD Student,Current,https://www.colorado.edu/aps/robby-stevens,robert.jpg,Mars climate and radiative transfer
Kya Sorli,PhD Student,Current,https://www.colorado.edu/aps/kya-sorli,kya.jpg,Thermophysical modeling of asteroids and icy bodies
Heshani Pieris,PhD Student,Current,https://lasp.colorado.edu/people/heshani-pieris/,Mars dust storms and lunar instrumentation
Tyler Horvath,Undergraduate Student,Former - Now at UCLA,Lunar caves
Margaret Landis,Postdoc,Former - Now faculty at ASU,,Mars and Ceres volatiles
Anya Portyankina,Research Associate,Former - Now Group Leader at DLR,,Mars polar processes and Enceladus jets
K. Michael Aye,Research Associate,Former - Now scientist at DLR,,Computational planetary science and data analysis
